Temporal_Velocity_Alpha,Manifold_Proximity_Scalar,Barycentric_Divergence_Index,Normalized_Deviation_Magnitude,Distribution_Curvature_Coefficient,Distribution_Asymmetry_Coefficient,Dispersion_Magnitude_Metric,Target
0.0286061084640999,1.2983566298633504,0.0094892129778066,0.6937202422288674,0.156256521394339,-0.8074249372666892,0.0135396536733572,-0.012358764968909454
0.0201293154140954,1.161840646090441,0.009266545311963,0.6883094656842995,0.3824345664088893,-0.8760281822278602,0.0134218556099422,-0.012410444866325435
0.0180125173730699,0.757506843014042,0.0070716126167004,0.5306645364180987,0.5372646163742761,-0.935414348134134,0.0133460162172845,-0.010228598461888474
0.0074972168344061,1.0177236729238606,0.0077232389794514,0.5828340058050556,0.5893408262939795,-0.9686946164007288,0.0133548627225992,-0.011033901181500185
-0.0008590956838908,1.3077199191904765,0.005594513588553,0.4221431991996139,0.6054386948598638,-0.9792487746642624,0.0133618003568326,-0.00864463779646972
-0.0050650934157086,1.5521025992107518,-0.0013540396431536,-0.1025126343355729,0.5820915889837328,-0.9675325218309934,0.0133680530541449,-0.000948841479462008
-0.0057670755333095,1.0017331352048922,-0.001802768022002,-0.1359952272872031,0.5595918090619411,-0.9510671527470134,0.0133626632627905,0.00026884314174090927
-0.0115145444723733,5.071331409066731,-0.0085517427548313,-0.6425151029942031,0.4612116225214092,-0.927937312714536,0.0134483123547525,0.00808045924542357
-0.017189633811627,2.0011002583612605,-0.0173746025793987,-1.2822221992751923,0.2108106297939816,-0.882464955966717,0.0136740353810443,0.01855741583098112
-0.0299582747058552,2.3527933700619585,-0.0217292741719195,-1.562133416730451,-0.2360050131022968,-0.8282579480487827,0.0140414724210586,0.024421162405795744
-0.0115375602143459,2.92888884953512,-0.0210913686781765,-1.4802861715696969,-0.4562637770593291,-0.7844293608885147,0.0143843250204555,0.02522723328724136
0.0118748043779014,1.9503536193055344,-0.0164022615109381,-1.1358955822187122,-0.503778882609779,-0.7580140393269083,0.0142610459691844,0.021486503219864925
0.0168683629534209,1.8751459862470856,-0.015218613928393,-1.0646352735269766,-0.4955451391264251,-0.7257240683008688,0.0137993600168503,0.021116123634187866
0.0190078175929252,1.9244226842343064,-0.0098215906556633,-0.7146396209451209,-0.7042184127568962,-0.647902781836121,0.0132109649826395,0.01589589698797857
0.0217823303648348,1.66698495628604,-0.0093054264140868,-0.7072140184031166,-0.7572303820176864,-0.5860919074202923,0.0126031620699243,0.01564479909470027
0.0217210904472071,1.2545151479157837,-0.0029978297047704,-0.2398887248592532,-0.679286521866929,-0.5786811374836597,0.0120933274074404,0.009061056904731673
0.0252434561376462,1.701322614788379,-0.0010231981481272,-0.085287992399753,-0.6269959750842498,-0.561739169465552,0.0115568184128097,0.007004129401943985
0.008940606898489,1.3295846272885044,-0.0033766416443021,-0.2944336958041876,-0.5439345650895424,-0.5597780449606929,0.0112039073270718,0.009329397219686243
0.0047122404154034,1.2036814863854828,-0.0057434227227417,-0.5159026540342987,-0.4466898343506769,-0.5798924334872023,0.0110713736463682,0.01184985786093234
0.0054151728311765,2.2818511104836827,-0.0038290183312628,-0.3485413885929189,-0.3454163522533757,-0.6066650971406715,0.0109702692162247,0.010057582451590037
0.0124444657063528,1.304325250841612,-0.0036280753164353,-0.3333230522529702,-0.2351540207482559,-0.6314953081904373,0.0108768489100769,0.009879421151129006
-0.003668612446962,1.5869690533342684,-0.0035920318221635,-0.3327384177620462,-0.1512552585251606,-0.6362845684616584,0.0108072986644569,0.009995124818953892
-0.0198257966305929,1.6775532662455013,-0.0104942916725759,-0.9700252228910634,-0.3146896293873238,-0.5786366776521465,0.0109101618877193,0.017826038744652772
-0.014979675947063,2.0463727719635987,-0.0136482733110841,-1.2429050598911309,-0.4756986386940676,-0.5149623892453873,0.0110644471560252,0.022511297317715562
-0.008645312647299,1.994547000615072,-0.0121083854567609,-1.091185761356609,-0.5850446645526696,-0.4645457931345267,0.0111928616942027,0.022264259942953994
-0.0314537076664673,1.4348930773393198,-0.0111699431543057,-0.9971133194422628,-0.651260558257625,-0.4391897968860923,0.0111269520018125,0.02251951119208968
-0.0077021092189277,10.057120395722182,-0.0023202899127883,-0.2096102557712336,-0.6606209795781476,-0.4450599722772197,0.0109788687349822,0.014216530308350524
-0.0069844306243993,1.4106766814051397,0.010413090256672,0.9493005131939384,-0.6479659128278658,-0.4919125110241202,0.01079794258051,0.0016464990127982642
-0.0132815826763296,2.6702685115808604,0.0084973275680889,0.7875082265943206,-0.6557372584608877,-0.55816423849569,0.0105463040054795,0.003549359567340783
0.0012413451679561,1.5319627350934124,0.0076665131305959,0.7301839504073757,-0.658573561563228,-0.561924193623473,0.0105580257948925,0.004366115078676657
-0.0015143009103467,1.5154193758919523,0.0108989123689532,1.0319474994479971,-0.6724261318374679,-0.5616077981677923,0.0105946852395153,0.0009535975902660149
0.0108997737749221,2.7779032782208795,0.0173852723557691,1.6100425180157294,-0.6295048412446719,-0.4931888267552349,0.0107714415369116,-0.005742985961466615
0.0136924022865317,2.433655385625108,0.0207045592437507,1.8716063206591704,-0.625465665406061,-0.3978988726862832,0.0111244614825282,-0.00935715023797
0.002640643803846,2.6200998966450486,0.0144236357999513,1.2863728610541765,-0.6404127105495122,-0.3790192761440653,0.0112124168625641,-0.003400232056925072
0.0137835266765436,2.6342370118126395,0.0205316648682067,1.7868509262014367,-0.600093330954955,-0.2865543851736406,0.0114727332441733,-0.0097049295667175
0.0179809416125971,1.9986554225456257,0.0207018011807003,1.7639707898744512,-0.6526138454276903,-0.2376188383745456,0.0118429436586832,-0.01026079603941213
0.0124566553364559,1.9514298696197647,0.0179137397246165,1.4938137873883388,-0.7216508771384722,-0.21993843790561,0.012090394275545,-0.008099261467658273
0.0090117280219996,1.8831442894397443,0.013376681676553,1.1038824375612772,-0.7689172516976153,-0.2394509798782883,0.012216127581876,-0.003988217347915306
-0.000692035649529,1.499887949281861,0.0131935780388136,1.0778559322536716,-0.7933176670658092,-0.2420537604086826,0.0122949113591897,-0.004154942377534491
-0.0041842255120895,1.088247224776092,0.0045272830265741,0.3712114935579418,-0.7789904282837359,-0.228431372549383,0.0122608628667795,0.004680866186266904
