Date,Open,High,Low,Close
1999-03-10 05:00:00+00:00,43.28720560622478,43.31366477835572,42.57280795868928,43.23428726196289
1999-03-11 05:00:00+00:00,43.55177474399432,43.80313674889587,42.59924504120951,43.44593811035156
1999-03-12 05:00:00+00:00,43.28720413760448,43.31366330883774,42.04362308964152,42.38759231567383
1999-03-15 05:00:00+00:00,42.70510910552682,43.65763942014824,42.25530312362226,43.60472106933594
1999-03-16 05:00:00+00:00,43.78992543180353,44.16035380403631,43.31366038178996,43.97513961791992
1999-03-17 05:00:00+00:00,43.97516017567028,44.02807853929925,43.52535408482407,43.65764999389648
1999-03-18 05:00:00+00:00,43.60469535981857,44.5307659530186,43.59146577991572,44.50430679321289
1999-03-19 05:00:00+00:00,45.08642310002288,45.08642310002288,43.34011797995157,43.3665771484375
1999-03-22 05:00:00+00:00,43.55179227907912,43.65762895533448,42.75801720716395,42.83739471435547
1999-03-23 05:00:00+00:00,42.59927165950917,42.758026709171936,41.249853737375645,41.32923126220703
1999-03-24 05:00:00+00:00,41.69965584108335,42.75802274060323,41.06463570137142,42.731563568115234
1999-03-25 05:00:00+00:00,43.393044055861246,44.29265594482422,43.10860794390972,44.29265594482422
1999-03-26 05:00:00+00:00,43.92222768442642,44.42495197719998,43.63117677808384,43.81639099121094
1999-03-29 05:00:00+00:00,44.34555653036335,45.430382197275584,44.0809649042872,45.40392303466797
1999-03-30 05:00:00+00:00,45.3510174818442,45.721445862676056,44.90121159083407,45.08642578125
1999-03-31 05:00:00+00:00,45.8272896926271,45.88020804100196,44.29265758975621,44.42495346069336
1999-04-01 05:00:00+00:00,45.72145691274066,45.77437526564893,44.61017150166711,45.35102844238281
1999-04-05 04:00:00+00:00,46.08524780606364,47.05762206004547,45.80081179979685,46.99147415161133
1999-04-06 04:00:00+00:00,46.93857716589572,47.600056550984434,46.54168953484248,47.084102630615234
1999-04-07 04:00:00+00:00,47.52066778283712,47.6265044594136,45.58914843531646,46.59459686279297
1999-04-08 04:00:00+00:00,46.51521718629649,47.18992596800898,45.56268714152591,46.96502304077149
1999-04-09 04:00:00+00:00,46.88565222386684,47.361917314177,46.75335636544735,47.256080627441406
1999-04-12 04:00:00+00:00,46.14479300618306,47.2560781588549,46.09187466557964,46.938568115234375
1999-04-13 04:00:00+00:00,47.22962173461914,47.33545842197963,45.93312231445312,46.30355072021485
1999-04-14 04:00:00+00:00,46.8856396556606,46.93855798484306,44.4580113044152,44.71598815917969
1999-04-15 04:00:00+00:00,44.87475236757973,45.39732097563379,43.28720216589648,45.32455825805664
1999-04-16 04:00:00+00:00,45.21873190140624,45.21873190140624,43.7634772176278,44.001609802246094
1999-04-19 04:00:00+00:00,44.29264426727776,44.66307259448319,41.494587438565325,41.93777847290039
1999-04-20 04:00:00+00:00,41.75257537484096,43.23428907635623,41.3556877762208,42.89031982421875
1999-04-21 04:00:00+00:00,43.2872071263371,45.03351254830425,42.70510531901472,45.00705337524414
