fwd_col2_positive_ratio,fwd_col3_positive_ratio,log_ret_30_max,log_ret_30_min,regime_momentum_differential,fwd_log_ret_col2,fwd_log_ret_col3,kde_density_divergence_10_50,poly2_normalized_residual_10,poly2_acceleration_spread_10_50,diff_signal.1,log_ret_10,log_ret_20,log_ret_50
0.0333333333333333,0.0,0.0280900132698508,-0.4765366324467902,,-0.5574380950731551,-0.6476850116488234,,0.0321,0.0,,,,
0.1666666666666666,0.0,0.014218237117016,-0.4506222160655156,,-0.4220092782495917,-0.5284825024958836,,0.0321,0.0,,,,
0.5666666666666667,0.3333333333333333,0.0732033409862686,-0.3916371121962629,,-0.2626807663200873,-0.3916370426033992,,0.0321,0.0,,,,
0.5,0.2,0.0606245899845268,-0.4042158631980048,,-0.2670627310946932,-0.3129998425838441,,0.0321,0.0,,,,
0.2333333333333333,0.0333333333333333,0.035931978860666,-0.4373711045178766,,-0.2170645704474068,-0.3215836460125147,,0.0321,0.0,,,,
0.4,0.1,0.0562591162739141,-0.4824011428770463,,-0.2158582325323074,-0.2624885816966708,,0.0321,0.0,,,,
0.4,0.1666666666666666,0.058751287201326,-0.5263329976363489,,-0.2265805403877535,-0.2551538857947068,,0.0321,0.0,,,,
0.0333333333333333,0.0,0.0011770866531256,-0.6348117457314391,,-0.2632480511802151,-0.3063075552563604,,0.0321,0.0,,,,
0.0,0.0,-0.0058996768422791,-0.6359888323845648,,-0.2682639666744001,-0.2829871754703315,,0.0321,0.0,,,,
0.1666666666666666,0.0,0.0313846026013452,-0.594553940074171,,-0.210804302175434,-0.234551141801073,,-0.0493703072867953,-0.0337556009478268,,,,
0.3,0.1333333333333333,0.0669577449167247,-0.5589807977587914,,-0.1714531935792141,-0.1866510396198037,,-0.0353146456056097,-0.0934567352075283,,-0.0887042138900319,,
0.0666666666666666,0.0,0.0258816891516172,-0.6000568535238987,,-0.213283656052397,-0.2556792300385758,,0.0273131021376958,-0.1126077126685203,,-0.0217137417436499,,
0.0,0.0,-0.0005972452138623,-0.6211737972770882,,-0.2283811146444523,-0.2412163288092461,,0.0255884762728189,-0.0893139665944487,,0.0583883058787921,,
0.1333333333333333,0.0,0.0197050720492413,-0.5803517596808186,,-0.1406640332849606,-0.1913171017275801,,0.0328870034754139,-0.0961448450735028,,0.0049875172807806,,
0.1666666666666666,0.0333333333333333,0.0468103548191822,-0.5532464769108777,,-0.1157085104607678,-0.1389315933725677,,0.0179840953061796,-0.1195048404509157,,-0.0468103766130211,,
0.1333333333333333,0.0666666666666666,0.06681741583723,-0.5332394158928301,,-0.1086980954182288,-0.1352092660683056,,-0.0298472390184188,-0.1206851655198434,,-0.0464903002178208,,
0.1,0.0,0.0111872981883125,-0.5753642424000379,,-0.1825716148141448,-0.196167013666617,,-0.0489730740254293,-0.0689266634216704,,-0.0018733027832007,,
0.0666666666666666,0.0,0.0105624138386006,-0.5759891267497501,,-0.1854494750202875,-0.2105745056724216,,0.0183027796233995,-0.0613599150959694,,-0.058822618981689,,
0.0333333333333333,0.0,0.0024875894392966,-0.5791072853614246,,-0.1160721987743263,-0.1999100197636216,,-0.0256825546256632,-0.0706031912350952,,-0.0568815470231401,,
0.7333333333333333,0.6,0.1467976803901322,-0.2623644046181177,,0.2812512184717717,0.207639374637572,,0.2071762812459472,-0.2622203756145029,,-0.3321895354560532,,
0.5333333333333333,0.1333333333333333,0.0735024920876466,-0.3661852343082113,,0.2147882708055841,0.144640501420103,,-0.1074890174073162,-0.2124324488669718,,-0.1927955634505801,-0.2814997773406121,
0.5,0.1666666666666666,0.0688906508437251,-0.3707970755521328,,0.2733933145223565,0.1856391371680443,,0.0886697826135737,-0.1732857409058524,,-0.229259777971766,-0.2509735197154158,
0.2,0.1,0.0506530788489948,-0.3890346475468633,,0.2164949477260256,0.1900725002992729,,0.0860695164463681,-0.1326746199523691,,-0.2321391497302249,-0.1737508438514329,
