fwd_col2_positive_ratio,fwd_col3_positive_ratio,log_ret_30_max,log_ret_30_min,regime_momentum_differential,fwd_log_ret_col2,fwd_log_ret_col3,kde_density_divergence_10_50,poly2_normalized_residual_10,poly2_acceleration_spread_10_50,diff_signal.1,log_ret_10,log_ret_20,log_ret_50
1.0,1.0,0.1539397233316337,0.0142524142303693,,0.1231270053242188,0.1111125653150015,,0.0321,0.0,,,,
1.0,1.0,0.1325352448511501,0.0032901366577514,,0.0791413158237396,0.0631704603904058,,0.0321,0.0,,,,
1.0,1.0,0.1320887378164022,0.0203178422841064,,0.0735403738503981,0.0477175242481664,,0.0321,0.0,,,,
1.0,1.0,0.1148507682956213,0.0309853186778514,,0.0310888792343383,0.0050560136654368,,0.0321,0.0,,,,
1.0,0.5517241379310345,0.0649951822546546,-0.0197294300013152,,-0.0179136404503084,-0.0495018637585264,,0.0321,0.0,,,,
1.0,0.6666666666666666,0.0686648137610184,-0.0160597984949513,,-0.0179822475744566,-0.0264449214931903,,0.0321,0.0,,,,
0.9333333333333332,0.4666666666666667,0.0589089654876273,-0.0258156467683425,,-0.023378207366516,-0.0390377819845281,,0.0321,0.0,,,,
0.8666666666666667,0.4666666666666667,0.057695661547506,-0.0270289507084639,,-0.0289515631124324,-0.0497659380077043,,0.0321,0.0,,,,
0.9655172413793104,0.5333333333333333,0.0601231255256616,-0.0246014867303081,,-0.016277211207412,-0.0293370983220211,,0.0321,0.0,,,,
0.5666666666666667,0.3333333333333333,0.0426575925477379,-0.0420670197082319,,-0.0225300605980996,-0.0371468297940916,,0.0067620153396634,-0.040784606645814,,,,
1.0,0.8666666666666667,0.0728088796278154,-0.0119157326281542,,0.0077742287859089,0.0028752600168192,,0.0258574262858424,-0.052520602530611,,0.1051729902709378,,
0.9333333333333332,0.5,0.0601231255256616,-0.0207166666020298,,-0.0024710736099174,-0.0170497097759134,,-0.0145841375403657,-0.0530096150806675,,0.0816127745215161,,
1.0,0.6,0.0649951822546546,-0.0254045957241841,,-0.011096136511585,-0.0210279375796672,,0.0196263006706749,-0.0397983345357534,,0.0731221199723505,,
0.9333333333333332,0.5666666666666667,0.0637742691999338,-0.0468796480684504,,-0.0018715308954914,-0.0291346816538553,,-0.0139483874655009,-0.0177384770623275,,0.0519356617338873,,
0.9333333333333332,0.7,0.0692771934798779,-0.0452198525333033,,0.0139683803214188,-4.3423698797049394e-05,,0.0118076629163325,-0.0185446370837568,,-0.0042820112252231,,
0.5666666666666667,0.3333333333333333,0.0444502455829131,-0.070046800430268,,-0.0114630285492049,-0.0254833740280832,,-0.0129554669923174,-0.0007365357503456,,0.0242145681781054,,
0.4333333333333333,0.3,0.0378926012309155,-0.0766044447822655,,-0.0198381548343549,-0.0314271835931455,,0.0052552324945981,0.0093627250313354,,0.0210163642567117,,
0.4,0.2333333333333333,0.0325804849393526,-0.0819165610738285,,-0.019104757473938,-0.0312334689205529,,-0.0157868179501963,0.0141167042243789,,0.0251151766081534,,
0.7666666666666667,0.4666666666666667,0.0632035666396936,-0.0512934793734874,,0.0133251358856289,0.0036515417072506,,-0.0202045482871415,-5.56211209501279e-05,,-0.0030804411140318,,
0.8,0.6,0.0699336196109963,-0.0445634264021848,,0.019753977972052,0.0097735533768752,,-0.0161893598322201,-0.0276209390443798,,-0.0272760270632583,,
0.6666666666666666,0.4,0.057730893924811,-0.0567661520883701,,0.0108558656961218,0.0024220807663522,,-0.0072541238487994,-0.0250965350900486,,0.0150779857030045,0.1202509759739424,
0.8,0.6666666666666666,0.0736240608629907,-0.0408729851501903,,0.0201290211204885,0.0128562617914089,,0.028249443262103,-0.0343545127899783,,-0.0135009353373288,0.068111839184187,
0.5,0.3666666666666666,0.0486759427713834,-0.0658211032417977,,0.0119477134412868,-0.0027078502009558,,0.0205500155569179,-0.0200678792982068,,0.0163192394832712,0.0894413594556218,
0.6333333333333333,0.4666666666666667,0.0644240929196153,-0.0500729530935657,,0.0288825201448879,0.0199459101784808,,0.01470373690726,-0.0143687767528178,,-0.0006498237196813,0.051285838014206,
0.5333333333333333,0.3666666666666666,0.0548549669061951,-0.0596420791069859,,0.0275830797198859,0.0169383902084717,,-0.0160609577236307,0.006628972695605,,0.0144222265736826,0.0101402153484594,
0.4,0.3333333333333333,0.0408938023293284,-0.0736032436838525,,0.0142097692926721,0.0041653716990823,,-0.0163705637097284,0.018548247501235,,0.0035564432535846,0.0277710114316898,
0.4333333333333333,0.3666666666666666,0.0522881105774291,-0.0622089354357519,,0.0302966273924796,0.0211856165347153,,-0.013382472343997,0.0113362768715707,,-0.0143955093465135,0.0066208549101981,
0.3666666666666666,0.3333333333333333,0.0405954778221613,-0.0739015681910198,,0.0325495215511855,0.0186039149511704,,-0.0199860754796116,-0.003314308220073,,-0.0080149928828087,0.0171001837253445,
0.3333333333333333,0.2333333333333333,0.0343557500548206,-0.0801412959583606,,0.028614907058074,0.0186343512230925,,0.0052013266527028,-0.0046738188312632,,0.0288478165848729,0.0257673754708412,
